2025-03-27 13:22:54 - 2025-03-27 13:22:54 - Src: 104.18.32.47, Dst: 192.168.100.221, Protocol: 6
2025-03-27 13:22:54 - 2025-03-27 13:22:54 - Src: 192.168.100.221, Dst: 104.18.32.47, Protocol: 6
2025-03-27 13:22:54 - 2025-03-27 13:22:54 - Src: 104.18.32.47, Dst: 192.168.100.221, Protocol: 6
2025-03-27 13:22:54 - 2025-03-27 13:22:54 - Src: 192.168.100.221, Dst: 104.18.32.47, Protocol: 6
2025-03-27 13:22:54 - 2025-03-27 13:22:54 - Src: 104.18.32.47, Dst: 192.168.100.221, Protocol: 6
2025-03-27 13:22:55 - 2025-03-27 13:22:55 - Src: 192.168.100.221, Dst: 64.233.184.188, Protocol: 6
2025-03-27 13:22:55 - 2025-03-27 13:22:55 - Src: 64.233.184.188, Dst: 192.168.100.221, Protocol: 6
2025-03-27 13:22:56 - 2025-03-27 13:22:56 - Src: 192.168.100.5, Dst: 192.168.100.255, Protocol: 17
2025-03-27 13:22:59 - 2025-03-27 13:22:59 - Src: 192.168.100.5, Dst: 239.255.255.250, Protocol: 17
2025-03-27 13:22:59 - 2025-03-27 13:22:59 - Src: 192.168.100.221, Dst: 192.168.100.1, Protocol: 6
2025-03-27 13:22:59 - 2025-03-27 13:22:59 - Src: 192.168.100.221, Dst: 192.168.100.1, Protocol: 6
2025-03-27 13:22:59 - 2025-03-27 13:22:59 - Src: 192.168.100.221, Dst: 3.233.158.24, Protocol: 6
2025-03-27 13:22:59 - 2025-03-27 13:22:59 - Src: 192.168.100.1, Dst: 192.168.100.221, Protocol: 6
2025-03-27 13:22:59 - 2025-03-27 13:22:59 - Src: 192.168.100.221, Dst: 192.168.100.1, Protocol: 6
2025-03-27 13:22:59 - 2025-03-27 13:22:59 - Src: 192.168.100.221, Dst: 192.168.100.1, Protocol: 6
2025-03-27 13:22:59 - 2025-03-27 13:22:59 - Src: 192.168.100.221, Dst: 192.168.100.1, Protocol: 6
2025-03-27 13:22:59 - 2025-03-27 13:22:59 - Src: 192.168.100.1, Dst: 192.168.100.221, Protocol: 6
2025-03-27 13:22:59 - 2025-03-27 13:22:59 - Src: 192.168.100.221, Dst: 192.168.100.1, Protocol: 6
2025-03-27 13:22:59 - 2025-03-27 13:22:59 - Src: 192.168.100.221, Dst: 192.168.100.1, Protocol: 6
2025-03-27 13:22:59 - 2025-03-27 13:22:59 - Src: 192.168.100.221, Dst: 192.168.100.1, Protocol: 6
2025-03-27 13:22:59 - 2025-03-27 13:22:59 - Src: 192.168.100.1, Dst: 192.168.100.221, Protocol: 6
2025-03-27 13:22:59 - 2025-03-27 13:22:59 - Src: 192.168.100.1, Dst: 192.168.100.221, Protocol: 6
2025-03-27 13:22:59 - 2025-03-27 13:22:59 - Src: 192.168.100.1, Dst: 192.168.100.221, Protocol: 6
